name,age,national id,sex,occupation,residence,town,nationality,disability status,"if disabled, specify",salary,number of kids
Diane Horton,70,32533811,Male,Lawyer,"66548 Garcia Views Suite 460, Randyland, LA 80013",Juba,Tanzanian,Yes,Mobility Impairment,183915,0
Robert Gardner,21,93128210,Male,Mechanic,"PSC 1561, Box 9468, APO AE 41893",Kampala,Rwandan,No,,208051,5
Robert Booth,86,61165560,Male,Engineer,"460 Melissa Valley Suite 842, North Sally, HI 46144",Dar es Salaam,Sudanese,No,,190425,6
Stacey Hernandez,28,10171086,Male,Nurse,"PSC 8144, Box 3595, APO AE 78998",Juba,Tanzanian,Yes,Mobility Impairment,245156,6
Anthony Vargas,26,41491803,Male,Chef,"2759 Stafford Burg, West Janice, MA 76650",Dar es Salaam,Sudanese,Yes,Cognitive Disability,264316,5
Angelica Clark,19,69973509,Female,Software Developer,"USCGC Wade, FPO AA 78579",Nairobi,Tanzanian,No,,32129,3
Raymond Murray,78,71934197,Female,Artist,"132 Watson Ferry Suite 685, New Tyler, NH 54534",Kampala,Tanzanian,Yes,Cognitive Disability,263389,6
Kyle Coffey,52,2030307,Male,Lawyer,"0384 Powers Roads, Lake Jonathanberg, WI 20665",Kampala,Sudanese,No,,104493,4
Lisa Martin,62,46867783,Male,Police Officer,"3573 Hernandez Station, Lake Matthew, UT 69965",Kampala,Ugandan,No,,106940,6
Daniel Ingram,81,56875284,Female,Driver,"57967 Anderson Bypass, East Ashley, WA 71893",Nairobi,Tanzanian,Yes,Mobility Impairment,32151,5
Beth Kelly,72,4818614,Female,Artist,"906 Crawford Stream, Newmanside, MN 75507",Kampala,Tanzanian,Yes,Cognitive Disability,275121,3
Kyle Scott,23,86669371,Male,Farmer,"94244 Rebekah Estate Suite 603, Lake Amanda, MS 33903",Kigali,Rwandan,Yes,Cognitive Disability,284537,4
Andrew Garrett,80,94716136,Male,Chef,"9648 Swanson Keys Suite 599, Nguyenport, CO 19377",Dar es Salaam,Rwandan,No,,197237,0
Jaclyn Jackson,51,58988575,Female,Farmer,"PSC 6750, Box 1269, APO AE 76905",Kigali,Rwandan,No,,166045,5
Ruth Combs,50,11098061,Female,Plumber,"7853 Sylvia Vista, Port Josephhaven, IA 48815",Kampala,Ugandan,Yes,Cognitive Disability,252000,0
Margaret Potter,47,25386923,Female,Police Officer,"6713 Joyce Extensions, Byrdfort, UT 49848",Juba,Rwandan,Yes,Visual Impairment,97148,4
Carolyn Vega,64,44482712,Male,Chef,"9078 Carpenter Flat Apt. 339, North Mistystad, IN 51302",Juba,Ugandan,No,,128298,1
Angel Zamora,79,89939585,Male,Farmer,"2804 Danielle Ranch Suite 716, South Jessica, VA 03244",Juba,Kenyan,No,,213221,3
Amanda Ramirez,18,66400897,Female,Plumber,"1766 Villa Crossing, Port Samanthachester, OR 61365",Kigali,Tanzanian,Yes,Mobility Impairment,96904,4
Kathleen Cummings,77,12212494,Female,Chef,"5016 King Camp Apt. 303, Howelltown, NM 72083",Nairobi,Rwandan,Yes,Mobility Impairment,247993,3
David Romero,23,99236940,Female,Software Developer,"4318 Wheeler Locks Suite 169, Port Caseyshire, CT 02057",Kampala,Rwandan,Yes,Hearing Impairment,230499,3
Nicole Barrett,18,60633689,Female,Farmer,"675 Wright Plaza, North Felicia, OH 69322",Kampala,Ugandan,Yes,Cognitive Disability,26218,3
Joseph Morris,49,92020285,Male,Electrician,"4529 Mcgee Inlet, Steventon, WY 74934",Kampala,Rwandan,Yes,Mobility Impairment,224292,3
Mr. Chris Jacobson MD,51,1213779,Male,Police Officer,"897 Rhonda Mountains Suite 025, Lake Staceyview, SD 83549",Mombasa,Sudanese,No,,67787,2
Katherine Jones,52,86376225,Male,Driver,"9285 Franklin Points Apt. 739, Velezmouth, AK 30055",Mombasa,Tanzanian,No,,90647,3
Glen Stephenson,22,25669223,Male,Artist,"37178 Kevin Ford Suite 601, Port Caitlin, MD 55197",Kampala,Kenyan,No,,243825,0
Rachel Cummings,50,42071410,Female,Driver,"0824 Lawson Key, East Jamie, MI 97698",Juba,Tanzanian,Yes,Hearing Impairment,146794,3
Herbert Morrow,62,7873563,Female,Nurse,"5266 Johnson Centers Apt. 421, West William, CO 31083",Kigali,Tanzanian,No,,177561,0
Steven Li,36,60047404,Male,Nurse,"065 Price Summit, South Heather, CA 06674",Mombasa,Rwandan,No,,132746,0
Jeffrey Bailey,51,5939811,Female,Electrician,"PSC 3474, Box 0231, APO AE 95619",Kampala,Ugandan,No,,54223,0
Matthew Hopkins,72,53822923,Male,Software Developer,"940 Jose Canyon, Millsborough, IL 91302",Kigali,Rwandan,No,,229011,0
Larry Montgomery,40,80410760,Female,Doctor,"10932 Long Plains Apt. 325, Perrybury, ND 18528",Kampala,Ugandan,Yes,Hearing Impairment,200423,4
Leonard Martinez IV,48,77911043,Female,Software Developer,"PSC 9002, Box 7145, APO AE 49390",Juba,Sudanese,Yes,Mobility Impairment,73521,1
Kristin Cox,39,94081990,Male,Farmer,"0307 Rose Tunnel, New Kevinberg, LA 08108",Kigali,Rwandan,No,,104537,6
Jessica Lawson,54,65718673,Female,Police Officer,"54839 Giles Heights Apt. 161, North Sarahfurt, VA 64158",Kampala,Ugandan,No,,170180,1
Robert Williams,50,20831919,Male,Nurse,"66144 Daniel Corners, Lake Anthony, OK 77956",Dar es Salaam,Sudanese,No,,117915,4
Angela Price,60,48129312,Male,Plumber,"95445 Amy Courts, New Deannastad, KS 55897",Kigali,Sudanese,No,,195264,1
Robert Baker,78,41539751,Female,Artist,"962 Johnson Summit, East Lindsey, NJ 81376",Kigali,Kenyan,Yes,Mobility Impairment,144597,0
Jason Bush,25,24252915,Male,Nurse,"52137 Ramirez Walk, South Teresamouth, NH 22475",Mombasa,Kenyan,No,,290892,5
Hannah Nash,84,87017121,Male,Mechanic,"2964 Ortiz Plains, Markborough, NJ 60005",Kampala,Kenyan,Yes,Mobility Impairment,250367,3
Rhonda Jones,25,12812645,Male,Software Developer,"5847 Michael Ranch, Sandramouth, MO 97246",Kigali,Sudanese,Yes,Cognitive Disability,198529,3
Anthony Hoffman,85,45294836,Male,Police Officer,"93411 Jacob Forks, Lake Rebecca, LA 62966",Dar es Salaam,Rwandan,No,,225430,6
Mark Clark,43,15196413,Female,Artist,"77754 Jeff Plaza Suite 742, Port Richardview, KY 04653",Kigali,Kenyan,Yes,Mobility Impairment,131266,4
Aaron Walker,47,91275501,Female,Teacher,"94809 Brown Street, Port Aaron, WI 04622",Nairobi,Ugandan,No,,53308,2
Theresa Ward,50,1993452,Female,Mechanic,"961 Ricky Square Suite 710, North Tinachester, MA 01008",Nairobi,Sudanese,Yes,Mobility Impairment,48230,2
Cheryl Hernandez,76,66290698,Female,Accountant,"155 Johnson Walks, Lake Bryan, WI 64103",Kigali,Ugandan,Yes,Mobility Impairment,256518,3
Terry Rodriguez,30,89755214,Female,Software Developer,"077 Roy Neck, Maldonadoberg, TX 16403",Kampala,Tanzanian,Yes,Hearing Impairment,282206,5
Michael Hayes,63,43248780,Female,Chef,"84525 Samantha Shoal, Sherrymouth, WV 42704",Dar es Salaam,Tanzanian,No,,25234,2
Jessica Thompson,42,3617592,Male,Electrician,"8984 Katherine Fort, South Stephanieton, VT 29114",Nairobi,Ugandan,Yes,Visual Impairment,222718,6
Michael Rios,18,65355564,Male,Farmer,"1131 Rodriguez Islands, West Mark, KS 33190",Mombasa,Ugandan,Yes,Cognitive Disability,191123,5
Ariel Patterson,74,29937308,Male,Accountant,"4547 Lauren Spur Apt. 339, East Nicholasmouth, WV 73633",Juba,Rwandan,Yes,Cognitive Disability,193125,6
Sandra Mcknight,81,94572648,Male,Artist,"Unit 3660 Box 1712, DPO AE 20835",Nairobi,Tanzanian,Yes,Mobility Impairment,78748,2
Amanda Bray,79,78118114,Male,Lawyer,"5554 Mcclure Parkway Suite 970, West Christinamouth, KS 28687",Dar es Salaam,Kenyan,No,,25919,1
Keith Schroeder,31,91885560,Male,Accountant,"32262 Davidson Flat, Timothyhaven, WV 03362",Kigali,Rwandan,No,,69105,1
Scott Hooper,60,91179435,Male,Doctor,"109 Devin Fords Suite 817, West Mollymouth, IL 69550",Nairobi,Kenyan,No,,223819,0
Gina White,72,70622845,Male,Nurse,"51878 Gonzalez Dale, West Lauren, GA 52334",Juba,Kenyan,No,,92946,4
